"rx","ry","rz","vx","vy","vz"
0.15381043,0.00000000,-0.38426009,-0.00000979,0.00000000,-0.00001096
0.30960515,0.00000000,-0.75790942,-0.00001303,0.00000000,-0.00001891
0.46751703,0.00000000,-1.12085690,-0.00001560,0.00000000,-0.00002647
0.62769077,0.00000000,-1.47299803,-0.00001652,0.00000000,-0.00003319
0.79028457,0.00000000,-1.81421236,-0.00001636,0.00000000,-0.00003962
0.95547090,0.00000000,-2.14436062,-0.00001669,0.00000000,-0.00004600
1.12343770,0.00000000,-2.46328131,-0.00002006,0.00000000,-0.00005410
1.29438921,0.00000000,-2.77078660,-0.00002295,0.00000000,-0.00006248
1.46854743,0.00000000,-3.06665707,-0.00002287,0.00000000,-0.00006946
1.64615265,0.00000000,-3.35063558,-0.00002102,0.00000000,-0.00007573
1.82746301,0.00000000,-3.62242024,-0.00001565,0.00000000,-0.00008015
2.01275394,0.00000000,-3.88165554,-0.00001125,0.00000000,-0.00008603
2.20231527,0.00000000,-4.12792262,-0.00000856,0.00000000,-0.00009381
2.39644703,0.00000000,-4.36072735,-0.00001249,0.00000000,-0.00010743
2.59545124,0.00000000,-4.57948789,-0.00001489,0.00000000,-0.00011984
2.79961921,0.00000000,-4.78352164,-0.00001610,0.00000000,-0.00013118
3.00921340,0.00000000,-4.97203249,-0.00001393,0.00000000,-0.00014010
3.22444126,0.00000000,-5.14410170,-0.00001128,0.00000000,-0.00015001
3.44542009,0.00000000,-5.29868579,-0.00000964,0.00000000,-0.00016300
3.67213372,0.00000000,-5.43462588,-0.00000696,0.00000000,-0.00017463
3.90438267,0.00000000,-5.55067579,-0.00000503,0.00000000,-0.00018749
4.14173408,0.00000000,-5.64555590,-0.00000615,0.00000000,-0.00020842
4.38348328,0.00000000,-5.71803473,-0.00000770,0.00000000,-0.00023382
4.62864173,0.00000000,-5.76703561,-0.00000608,0.00000000,-0.00025226
4.87596607,0.00000000,-5.79175275,-0.00000233,0.00000000,-0.00026321
5.12403393,0.00000000,-5.79175275,0.00000233,0.00000000,-0.00026321
5.37135827,0.00000000,-5.76703561,0.00000608,0.00000000,-0.00025226
5.61651672,0.00000000,-5.71803473,0.00000770,0.00000000,-0.00023382
5.85826592,0.00000000,-5.64555590,0.00000615,0.00000000,-0.00020842
6.09561733,0.00000000,-5.55067579,0.00000503,0.00000000,-0.00018749
6.32786628,0.00000000,-5.43462588,0.00000696,0.00000000,-0.00017463
6.55457991,0.00000000,-5.29868579,0.00000964,0.00000000,-0.00016300
6.77555874,0.00000000,-5.14410170,0.00001128,0.00000000,-0.00015001
6.99078660,0.00000000,-4.97203249,0.00001393,0.00000000,-0.00014010
7.20038079,0.00000000,-4.78352164,0.00001610,0.00000000,-0.00013118
7.40454876,0.00000000,-4.57948789,0.00001489,0.00000000,-0.00011984
7.60355297,0.00000000,-4.36072735,0.00001249,0.00000000,-0.00010743
7.79768473,0.00000000,-4.12792262,0.00000856,0.00000000,-0.00009381
7.98724606,0.00000000,-3.88165554,0.00001125,0.00000000,-0.00008603
8.17253699,0.00000000,-3.62242024,0.00001565,0.00000000,-0.00008015
8.35384735,0.00000000,-3.35063558,0.00002102,0.00000000,-0.00007573
8.53145257,0.00000000,-3.06665707,0.00002287,0.00000000,-0.00006946
8.70561079,0.00000000,-2.77078660,0.00002295,0.00000000,-0.00006248
8.87656230,0.00000000,-2.46328131,0.00002006,0.00000000,-0.00005410
9.04452910,0.00000000,-2.14436062,0.00001669,0.00000000,-0.00004600
9.20971543,0.00000000,-1.81421236,0.00001636,0.00000000,-0.00003962
9.37230923,0.00000000,-1.47299803,0.00001652,0.00000000,-0.00003319
9.53248297,0.00000000,-1.12085690,0.00001560,0.00000000,-0.00002647
9.69039485,0.00000000,-0.75790942,0.00001303,0.00000000,-0.00001891
9.84618957,0.00000000,-0.38426009,0.00000979,0.00000000,-0.00001096
