*******************************************************************************
 Revised: April 12, 2021               Jupiter                              599
 
 PHYSICAL DATA (revised 2025-Jan-30):
  Mass x 10^26 (kg)     = 18.9819           Density (g/cm^3)  = 1.3262 +- .0003
  Equat. radius (1 bar) = 71492+-4 km       Polar radius (km)     = 66854+-10
  Vol. Mean Radius (km) = 69911+-6          Flattening            = 0.06487
  Geometric Albedo      = 0.52              Rocky core mass (Mc/M)= 0.0261
  Sid. rot. period (III)= 9h 55m 29.711 s   Sid. rot. rate (rad/s)= 0.00017585
  Mean solar day, hrs   = ~9.9259         
  GM (km^3/s^2)         = 126686531.900     GM 1-sigma (km^3/s^2) =  +- 1.2732
  Equ. grav, ge (m/s^2) = 24.79             Pol. grav, gp (m/s^2) =  28.34
  Vis. magnitude V(1,0) = -9.40
  Vis. mag. (opposition)= -2.70             Obliquity to orbit    =  3.13 deg
  Sidereal orbit period = 11.861982204 y    Sidereal orbit period = 4332.589 d
  Mean daily motion     = 0.0831294 deg/d   Mean orbit speed, km/s= 13.0697
  Atmos. temp. (1 bar)  = 165+-5 K          Escape speed, km/s    =  59.5           
  A_roche(ice)/Rp       =  2.76             Hill's sphere rad. Rp = 740
                                 Perihelion   Aphelion     Mean
  Solar Constant (W/m^2)         56           46           51
  Maximum Planetary IR (W/m^2)   13.7         13.4         13.6
  Minimum Planetary IR (W/m^2)   13.7         13.4         13.6
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Sun Sep 14 13:03:46 2025 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup365_merged}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2100-Jan-01 00:00:00.0000 TDB
Step-size       : 14400 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2451544.500000000, A.D. 2000-Jan-01 00:00:00.0000,  3.996320621351185E+00,  2.932560894863292E+00, -1.016166987472685E-01, -4.558376533394469E-03,  6.439863253809189E-03,  7.537585811287700E-05,  2.863446881048567E-02,  4.957904584013533E+00,  1.333017909147770E-04,
2451554.500000000, A.D. 2000-Jan-11 00:00:00.0000,  3.950256922766841E+00,  2.996598426365952E+00, -1.008507893142886E-01, -4.654276605411386E-03,  6.367593275327169E-03,  7.780767578647003E-05,  2.864232209008464E-02,  4.959264337224984E+00,  1.386666641070318E-04,
2451564.500000000, A.D. 2000-Jan-21 00:00:00.0000,  3.903239781255121E+00,  3.059908951118389E+00, -1.000605749023724E-01, -4.748309834955463E-03,  6.294395169092686E-03,  8.024595337687022E-05,  2.865049224282556E-02,  4.960678955320205E+00,  1.448299372933523E-04,
2451574.500000000, A.D. 2000-Jan-31 00:00:00.0000,  3.855276720199210E+00,  3.122484336536776E+00, -9.924609600757940E-02, -4.844021530325696E-03,  6.219622688946305E-03,  8.262099893387639E-05,  2.865897908544138E-02,  4.962148406567485E+00,  1.486112698335948E-04,
2451584.500000000, A.D. 2000-Feb-10 00:00:00.0000,  3.806385091318775E+00,  3.184303796285352E+00, -9.840773135456791E-02, -4.935048089168921E-03,  6.144173186363610E-03,  8.504114087098290E-05,  2.866778007497232E-02,  4.963672250666989E+00,  1.555001591754750E-04,
2451594.500000000, A.D. 2000-Feb-20 00:00:00.0000,  3.756573919332878E+00,  3.245356098218113E+00, -9.754564120815094E-02, -5.026389064382897E-03,  6.066554332835869E-03,  8.739612313132161E-05,  2.867688739652574E-02,  4.965249134512002E+00,  1.606368379676614E-04,
2451604.500000000, A.D. 2000-Mar-01 00:00:00.0000,  3.705856557592466E+00,  3.305629004179928E+00, -9.665999328043588E-02, -5.117236864169894E-03,  5.987413948226836E-03,  8.970927273145731E-05,  2.868630774508044E-02,  4.966880217302169E+00,  1.650436660214085E-04,
2451614.500000000, A.D. 2000-Mar-11 00:00:00.0000,  3.654248905596325E+00,  3.365103030153260E+00, -9.575118632085088E-02, -5.203893163782185E-03,  5.907961449522240E-03,  9.207752689017837E-05,  2.869602870552813E-02,  4.968563349428127E+00,  1.722352085719020E-04,
