*******************************************************************************
 Revised: April 22, 2021              Neptune                               899
 
 PHYSICAL DATA (update 2021-May-03):
  Mass x10^24 (kg)      = 102.409         Density (g/cm^3)       =  1.638
  Equat. radius (1 bar) = 24766+-15 km    Volume, 10^10 km^3     = 6254     
  Vol. mean radius (km) = 24624+-21       Polar radius (km)      = 24342+-30
  Geometric Albedo      = 0.41            Flattening             =  0.0171
  Sid. rot. period (III)= 16.11+-0.01 hr  Sid. rot. rate (rad/s) =  0.000108338 
  Mean solar day, h     =~16.11 h         
  GM (km^3/s^2)         = 6835099.97      GM 1-sigma (km^3/s^2)  = +-10 
  Equ. grav, ge (m/s^2) = 11.15           Pol. grav, gp (m/s^2)  = 11.41+-0.03
  Visual magnitude V(1,0)= -6.87
  Vis. mag. (opposition)=  +7.84          Obliquity to orbit     = 28.32 deg
  Sidereal orbit period = 164.788501027 y Sidereal orbit period  = 60189 d
  Mean daily motion     = 0.006020076dg/d Mean orbit velocity    =  5.43 km/s 
  Atmos. temp. (1 bar)  =  72+-2 K        Escape speed (1 bar)  =  23.5 km/s     
  Aroche(ice)/Rp        =  2.98           Hill's sphere rad., Rp = 4700
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         1.54        1.49        1.51
  Maximum Planetary IR (W/m^2)   0.52        0.52        0.52
  Minimum Planetary IR (W/m^2)   0.52        0.52        0.52
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Sun Sep 14 13:05:11 2025 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Neptune (899)                   {source: nep097_merged}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2100-Jan-01 00:00:00.0000 TDB
Step-size       : 14400 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2451544.500000000, A.D. 2000-Jan-01 00:00:00.0000,  1.680361785911107E+01, -2.499544357157440E+01,  1.274769173927470E-01,  2.584591104377939E-03,  1.768944210379373E-03, -9.629428153854004E-05,  1.739524398661104E-01,  3.011893130340558E+01, -2.647302594893257E-05,
2451554.500000000, A.D. 2000-Jan-11 00:00:00.0000,  1.682945577492731E+01, -2.497773610373588E+01,  1.265174165818302E-01,  2.583395695570318E-03,  1.772222241764071E-03, -9.619841507710420E-05,  1.739508929879948E-01,  3.011866346976246E+01, -2.659901027730043E-05,
2451564.500000000, A.D. 2000-Jan-21 00:00:00.0000,  1.685527541047791E+01, -2.496000248735925E+01,  1.255568994847331E-01,  2.580965691606466E-03,  1.775099141712734E-03, -9.563227569884130E-05,  1.739493501534595E-01,  3.011839633624356E+01, -2.707975279824161E-05,
2451574.500000000, A.D. 2000-Jan-31 00:00:00.0000,  1.688107787621865E+01, -2.494224116264709E+01,  1.245960896012224E-01,  2.578869977056334E-03,  1.777134181402102E-03, -9.610334601132637E-05,  1.739478075099321E-01,  3.011812923579665E+01, -2.668089078188790E-05,
2451584.500000000, A.D. 2000-Feb-10 00:00:00.0000,  1.690686140321712E+01, -2.492445222688213E+01,  1.236361169684403E-01,  2.577799996072513E-03,  1.780070064957521E-03, -9.642283169191754E-05,  1.739462598424982E-01,  3.011786126548732E+01, -2.645225612801103E-05,
2451594.500000000, A.D. 2000-Feb-20 00:00:00.0000,  1.693262586659883E+01, -2.490663722996981E+01,  1.226755840319213E-01,  2.575773454237242E-03,  1.783303934780324E-03, -9.579511386977955E-05,  1.739447141165662E-01,  3.011759363133860E+01, -2.700241221563885E-05,
2451604.500000000, A.D. 2000-Mar-01 00:00:00.0000,  1.695837303595040E+01, -2.488879519444540E+01,  1.217142002082039E-01,  2.573286709856099E-03,  1.785454605937107E-03, -9.588549344990410E-05,  1.739431713997527E-01,  3.011732651820261E+01, -2.691901246983298E-05,
2451614.500000000, A.D. 2000-Mar-11 00:00:00.0000,  1.698410190221994E+01, -2.487092520433980E+01,  1.207535398094018E-01,  2.572024931493564E-03,  1.787952374177246E-03, -9.649257129730986E-05,  1.739416240952417E-01,  3.011705861073143E+01, -2.643511988959194E-05,
