*******************************************************************************
 Revised: January 26, 2022             Saturn                               699
 
 PHYSICAL DATA:
  Mass x10^26 (kg)      = 5.6834          Density (g/cm^3)       =  0.687+-.001
  Equat. radius (1 bar) = 60268+-4 km     Polar radius (km)      = 54364+-10
  Vol. Mean Radius (km) = 58232+-6        Flattening             =  0.09796
  Geometric Albedo      = 0.47            Rocky core mass (Mc/M) =  0.1027
  Sid. rot. period (III)= 10h 39m 22.4s   Sid. rot. rate (rad/s) =  0.000163785 
  Mean solar day, hrs   =~10.656         
  GM (km^3/s^2)         = 37931206.234    GM 1-sigma (km^3/s^2)  = +- 98
  Equ. grav, ge (m/s^2) = 10.44           Pol. grav, gp (m/s^2)  = 12.14+-0.01
  Vis. magnitude V(1,0) = -8.88          
  Vis. mag. (opposition)= +0.67           Obliquity to orbit     = 26.73 deg
  Sidereal orbit period = 29.447498 yr    Sidereal orbit period  = 10755.698 d
  Mean daily motion     = 0.0334979 deg/d Mean orbit velocity    =  9.68 km/s
  Atmos. temp. (1 bar)  = 134+-4 K        Escape speed, km/s    =  35.5          
  Aroche(ice)/Rp        =  2.71           Hill's sphere rad. Rp  = 1100
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         16.8        13.6        15.1
  Maximum Planetary IR (W/m^2)    4.7         4.5         4.6
  Minimum Planetary IR (W/m^2)    4.7         4.5         4.6
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Sun Sep 14 13:04:35 2025 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Saturn (699)                    {source: sat441l}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2100-Jan-01 00:00:00.0000 TDB
Step-size       : 14400 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2451544.500000000, A.D. 2000-Jan-01 00:00:00.0000,  6.401416168163572E+00,  6.565250459597368E+00, -3.689209424165721E-01, -4.285166236914331E-03,  3.884579924219014E-03,  1.025155157793841E-04,  5.300174802621731E-02,  9.176968193092039E+00, -2.142006356308177E-04,
2451554.500000000, A.D. 2000-Jan-11 00:00:00.0000,  6.358432998520549E+00,  6.603967528170837E+00, -3.678865925441467E-01, -4.310340031083156E-03,  3.858198051204070E-03,  1.045591312184288E-04,  5.298936496259712E-02,  9.174824132090139E+00, -2.142885264368524E-04,
2451564.500000000, A.D. 2000-Jan-21 00:00:00.0000,  6.315212173434571E+00,  6.642429755584056E+00, -3.668381971127535E-01, -4.335046808077708E-03,  3.833935774683336E-03,  1.053883062768876E-04,  5.297707270283684E-02,  9.172695793289213E+00, -2.124513669932583E-04,
2451574.500000000, A.D. 2000-Jan-31 00:00:00.0000,  6.271743584807667E+00,  6.680633084315083E+00, -3.657734126664351E-01, -4.358028449131605E-03,  3.807690688893244E-03,  1.069978480271134E-04,  5.296481468873564E-02,  9.170573383940344E+00, -2.108689897841152E-04,
2451584.500000000, A.D. 2000-Feb-10 00:00:00.0000,  6.228034431215653E+00,  6.718585045535194E+00, -3.646975620274199E-01, -4.383396074032811E-03,  3.781562790717685E-03,  1.087083431623086E-04,  5.295265397689804E-02,  9.168467821956163E+00, -2.108134276654573E-04,
2451594.500000000, A.D. 2000-Feb-20 00:00:00.0000,  6.184089825865147E+00,  6.756273627492898E+00, -3.636056658896385E-01, -4.406644337907670E-03,  3.756682369241309E-03,  1.094955672927465E-04,  5.294056014873489E-02,  9.166373840521230E+00, -2.083401397293805E-04,
2451604.500000000, A.D. 2000-Mar-01 00:00:00.0000,  6.139900559018786E+00,  6.793702564120840E+00, -3.624994639069632E-01, -4.429949023753038E-03,  3.729412396621942E-03,  1.114503241777060E-04,  5.292851482549989E-02,  9.164288257454263E+00, -2.076897359693997E-04,
2451614.500000000, A.D. 2000-Mar-11 00:00:00.0000,  6.095479429481167E+00,  6.830873230668081E+00, -3.613816401379214E-01, -4.454823395654158E-03,  3.703701430103540E-03,  1.126824516661188E-04,  5.291657584825501E-02,  9.162221087624694E+00, -2.068811446449469E-04,
