*******************************************************************************
 Revised: January 29, 2025             Uranus                               799
 
 PHYSICAL DATA:
  Mass x10^24 (kg)      = 86.813          Density (g/cm^3)       =  1.271
  Equat. radius (1 bar) = 25559+-4 km     Polar radius (km)      = 24973+-20
  Vol. Mean Radius (km) = 25362+-12       Flattening             =  0.02293
  Geometric Albedo      = 0.51
  Sid. rot. period (III)= 17.24+-0.01 h   Sid. rot. rate (rad/s) = -0.000101237
  Mean solar day, h     =~17.24           Rocky core mass (Mc/M) =  0.0012        
  GM (km^3/s^2)         = 5793950.6103    GM 1-sigma (km^3/s^2)  = +-4.3 
  Equ. grav, ge (m/s^2) =  8.87           Pol. grav, gp (m/s^2)  =   9.19+-0.02
  Visual magnitude V(1,0)= -7.11
  Vis. mag. (opposition)=  +5.52          Obliquity to orbit     = 97.77 deg
  Sidereal orbit period = 84.0120465 y    Sidereal orbit period  = 30685.4 d
  Mean daily motion     = 0.01176904 dg/d Mean orbit velocity    =  6.8 km/s
  Atmos. temp. (1 bar)  =  76+-2 K        Escape speed, km/s     =  21.3           
  Aroche(ice)/Rp        =  2.20           Hill's sphere rad., Rp = 2700
                                 Perihelion   Aphelion    Mean
  Solar Constant (W/m^2)         4.09         3.39        3.71
  Maximum Planetary IR (W/m^2)   0.72         0.55        0.63
  Minimum Planetary IR (W/m^2)   0.72         0.55        0.63
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Sun Sep 14 13:04:50 2025 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Uranus (799)                    {source: ura183_merged}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2100-Jan-01 00:00:00.0000 TDB
Step-size       : 14400 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2451544.500000000, A.D. 2000-Jan-01 00:00:00.0000,  1.442337622913901E+01, -1.373845196763103E+01, -2.379230398823268E-01,  2.683839889869174E-03,  2.665015934138373E-03, -2.484537350873912E-05,  1.150525366451675E-01,  1.992072919566711E+01,  1.055558926764745E-04,
2451554.500000000, A.D. 2000-Jan-11 00:00:00.0000,  1.445018669283967E+01, -1.371177592920842E+01, -2.381712686430599E-01,  2.678430893397379E-03,  2.670148279157440E-03, -2.481857650385429E-05,  1.150586203377158E-01,  1.992178255437869E+01,  1.052748476709023E-04,
2451564.500000000, A.D. 2000-Jan-21 00:00:00.0000,  1.447694301128681E+01, -1.368504858507087E+01, -2.384189509195435E-01,  2.672825610720258E-03,  2.675326680498684E-03, -2.467347636918509E-05,  1.150646875793412E-01,  1.992283306470126E+01,  1.048169735455725E-04,
2451574.500000000, A.D. 2000-Jan-31 00:00:00.0000,  1.450364535560537E+01, -1.365827002097643E+01, -2.386655186976080E-01,  2.667374260218655E-03,  2.680435264350016E-03, -2.469564889644988E-05,  1.150707393248653E-01,  1.992388089195707E+01,  1.045195811894175E-04,
2451584.500000000, A.D. 2000-Feb-10 00:00:00.0000,  1.453029315470732E+01, -1.363144023911562E+01, -2.389109599322463E-01,  2.661950537101026E-03,  2.685547568753910E-03, -2.455761538167691E-05,  1.150767731184442E-01,  1.992492561092991E+01,  1.042366530574421E-04,
2451594.500000000, A.D. 2000-Feb-20 00:00:00.0000,  1.455688632514984E+01, -1.360455938320320E+01, -2.391555030322508E-01,  2.656642498067539E-03,  2.690638666231716E-03, -2.429699061477442E-05,  1.150827891241324E-01,  1.992596725002496E+01,  1.040501607995609E-04,
2451604.500000000, A.D. 2000-Mar-01 00:00:00.0000,  1.458342533096132E+01, -1.357762772164826E+01, -2.393994265689491E-01,  2.651126717071160E-03,  2.695727255180474E-03, -2.428587933221699E-05,  1.150887903120393E-01,  1.992700632350071E+01,  1.037156009997947E-04,
2451614.500000000, A.D. 2000-Mar-11 00:00:00.0000,  1.460990995890299E+01, -1.355064527360013E+01, -2.396422841206627E-01,  2.645692890309915E-03,  2.700782718964812E-03, -2.428877994036448E-05,  1.150947757654869E-01,  1.992804267263930E+01,  1.034625915424427E-04,
